Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"REWIGLP126X, REWIGLP126",Buzzcocks,Another Music In A Different Kitchen,"Domino, Domino","LP, Album, Dlx, Ltd, RE, RM, Sil",,2019,13112579,Uncategorized,2019-02-25 18:08:14,,,
"REWIGLP127X, REWIGLP127",Buzzcocks,Love Bites,"Domino, Domino","LP, Album, Dlx, Ltd, RE, RM, Whi",,2019,13112631,Uncategorized,2019-02-25 18:07:51,,,
"RUG914TXM, RUG914T",Protomartyr (2),Consolation E.P.,"Domino, Domino","12"", EP, Ltd, Yel",,2018,12139131,Uncategorized,2019-03-03 15:40:31,,,
"WIGLP394X, WIGLP394",Tirzah,Devotion,"Domino, Domino","LP, Album, Ltd, Whi",,2018,12363879,Uncategorized,2019-03-03 16:47:08,,,
"WIGLP399X, WIGLP399",Panda Bear,Buoys,"Domino, Domino","LP, Album, Ltd, Red",,2019,13182139,Uncategorized,2019-03-03 15:24:38,,,
"WIGLP400, WIGLP400XX",Middle Kids,Lost Friends,"Domino, Domino","LP, Album, Ltd, Lav",,2018,11950273,Uncategorized,2019-03-03 14:55:04,,,
"WIGLP401X, WIGLP401",The Fat White Family,Serfs Up!,"Domino, Domino","LP, Album, Ltd, Gol",,2019,13511590,Uncategorized,2019-04-28 07:35:32,,,
"WIGLP402X, WIGLP402",Protomartyr (2),Relatives In Descent,"Domino, Domino","LP, Album, Ltd, Blu",,2017,10913313,Uncategorized,2019-03-03 15:41:01,,,
"WIGLP415X, WIGLP415",Flasher (4),Constant Image,"Domino, Domino","LP, Album, Ltd, Cle",,2018,12105938,Uncategorized,2019-03-02 07:01:43,,,
"WIGLP417, WIGLP417XM",Julia Holter,Aviary,"Domino, Domino","2xLP, Album, Dlx, Ltd, Cle",,2018,12708419,Uncategorized,2019-03-02 07:57:19,,,
"WIGLP421XM, WIGLP421",Blood Orange (2),Negro Swan,"Domino, Domino","2xLP, Album, Dlx, Gol",,2018,12619264,Uncategorized,2019-02-25 17:57:30,,,
DG-112,Pinkwash,Collective Sigh,Don Giovanni Records,LP,,2016,8532243,Uncategorized,2019-03-03 15:21:03,,,
DG-125,RVIVR,RVIVR,Don Giovanni Records,"LP, Album, RM",,2016,9893401,Uncategorized,2019-03-03 15:54:31,,,
DG-94,Downtown Boys (2),Full Communism,Don Giovanni Records,LP,,2015,7111187,Uncategorized,2019-03-02 05:56:12,,,
DS037LP,Bill Ryder-Jones,If...,Double Six (2),LP,,2011,3335065,Uncategorized,2019-03-03 15:48:06,,,
DS114LP,George Fitzgerald,All That Must Be,Double Six (2),"2xLP, Album, 180",,2018,11705619,Uncategorized,2019-03-02 07:01:18,,,
ETR-023,Fairweather,Lusitania,Enjoy The Ride Records,"12"", Gre + 12"", Blu",,2013,4252117,Uncategorized,2019-03-02 07:07:42,,,
E 69630,Rage Against The Machine,The Battle Of Los Angeles,Epic,"LP, Album",,1999,395120,Uncategorized,2019-03-03 16:03:51,,,
"FE 37689, FMLN 2",The Clash,Combat Rock,"Epic, Epic","LP, Album, RP, Ter",,1982,7896666,Uncategorized,2019-02-25 18:34:00,,,
87379-1,Desaparecidos,Payola,Epitaph,"LP, Album, Dlx, Ltd",,2015,7202361,Uncategorized,2019-03-02 05:48:59,,,
EVR-54,Saves The Day,Through Being Cool,Equal Vision Records,"LP, Album",,1999,2330721,Uncategorized,2019-03-03 16:15:15,,,
EQR0001,Islands,Return To The Sea,Equator Records (2),"2xLP, Album, Ltd, Whi",,2006,1335493,Uncategorized,2019-03-02 08:10:38,,,
EVE006,Metric,"Old World Underground, Where Are You Now?",Everloving,"LP, Album, RE",,2015,7118571,Uncategorized,2019-03-03 14:55:41,,,
