Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
VR4402,Hot Rod Circuit,Sorry About Tomorrow,Vagrant Records,"LP, Album, Ltd, RE, Whi",,2017,10270550,Uncategorized,2019-03-02 07:28:10,,,
VR4405,Alkaline Trio,From Here To Infirmary ,Vagrant Records,"LP, Album, RP, 180",,2017,9724993,Uncategorized,2019-02-25 17:33:40,,,
VR683,Active Child,You Are All I See,Vagrant Records,"LP, Album",,2011,3068811,Uncategorized,2019-02-25 17:16:32,,,
VR4413,Saves The Day,Ups & Downs: Early Recordings And B-Sides,"Vagrant Records, BMG","LP, Comp, Ltd, RE, 180",,2017,10970244,Uncategorized,2019-03-03 16:15:35,,,
"VR342, HV003",The Anniversary,Designing A Nervous Breakdown,"Vagrant Records, Heroes & Villains Records","LP, Album, Ltd, RE, Red",,2016,9299952,Uncategorized,2019-02-25 17:15:17,,,
"VR359, HV011",The Anniversary,Your Majesty,"Vagrant Records, Heroes & Villains Records","LP, Album",,2002,1611471,Uncategorized,2019-02-25 17:15:48,,,
"VR371, HV013",The Get Up Kids,On A Wire,"Vagrant Records, Heroes & Villains Records","LP, Album, Ltd, Pic",,2002,5024595,Uncategorized,2019-03-02 07:16:36,,,
VR145,Thursday,Full Collapse,Victory Records,"LP, Album, Ltd, RP, Whi",,2003,2588066,Uncategorized,2019-03-03 16:56:35,,,
VR176,Taking Back Sunday,Tell All Your Friends,Victory Records,"LP, Album, Ltd, RP, Ora",,2003,984326,Uncategorized,2019-03-03 17:01:56,,,
534901-1,Built To Spill,Live,Warner Bros. Records,"2xLP, Album, RE, RM",,2013,4491195,Uncategorized,2019-02-25 17:47:32,,,
WARP LP 156R,Battles,Mirrored,Warp Records,"2xLP, Album, RE, RP",,2016,8293471,Uncategorized,2019-02-25 18:12:24,,,
WARPLP182,Grizzly Bear,Veckatimest,Warp Records,"2xLP, Album",,2009,3408976,Uncategorized,2019-03-02 07:27:04,,,
WARPLP229,Grizzly Bear,Shields,Warp Records,"2xLP, Album",,2012,4074774,Uncategorized,2019-03-02 07:27:46,,,
"WARPLP136R, WARP LP136R",Broadcast,Tender Buttons,"Warp Records, Warp Records","LP, Album, RP",,2015,6733818,Uncategorized,2019-02-25 18:23:43,,,
WV-116,Ava Luna,Electric Balloon ,Western Vinyl,"LP, Album",,2014,5441972,Uncategorized,2019-02-25 17:18:13,,,
WV136,Ava Luna,Infinite House,Western Vinyl,"LP, Album",,2015,6904326,Uncategorized,2019-02-25 17:19:30,,,
WCR 005,Dads,Brown On Brown,Wharf Cat Records,LP,,2012,4321011,Uncategorized,2019-03-02 05:46:52,,,
WYRLP 0315,Royal Headache,High,What's Your Rupture?,"LP, Album",,2015,7363581,Uncategorized,2019-03-03 16:06:48,,,
"WYR ?0214, TUGS016",Life Without Buildings,Any Other City,"What's Your Rupture?, Tugboat Records","LP, Album + 7"", Single + Ltd",,2014,5595131,Uncategorized,2019-03-02 08:40:00,,,
WOODSIST072,Woods (2),With Light And With Love,Woodsist,"LP, Album",,2014,5586106,Uncategorized,2019-03-03 17:25:13,,,
XLLP 198,Ratatat,Classics,XL Recordings,"LP, Album, Gat",,2006,834957,Uncategorized,2019-03-03 15:56:12,,,
XLLP 318,Vampire Weekend,Vampire Weekend,XL Recordings,"LP, Album, M/Print",,2008,1245209,Uncategorized,2019-03-03 17:09:59,,,
XLLP556,Vampire Weekend,Modern Vampires Of The City,XL Recordings,"LP, Album, Ltd, Whi",,2013,4557616,Uncategorized,2019-03-03 17:08:31,,,
XLLP781,Radiohead,OK Computer,XL Recordings,"2xLP, Album, RE, RP",,2016,10596610,Uncategorized,2019-03-03 16:01:34,,,
XLLP785,Radiohead,Hail To The Thief,XL Recordings,"2x12"", Album, RE",,2016,8638748,Uncategorized,2019-03-03 15:58:54,,,
XLT652,Vampire Weekend,Step,XL Recordings,"12"", Single, Ltd, Whi",,2015,6938350,Uncategorized,2019-03-03 17:09:07,,,
"XL LP 450, YT031LP",The XX,XX,"XL Recordings, Young Turks","LP, Album",,2009,1976385,Uncategorized,2019-03-03 17:30:06,,,
YTLP060,SBTRKT,SBTRKT,Young Turks,"LP, Album",,2011,2959170,Uncategorized,2019-03-03 16:45:00,,,
YTLP158,Sampha,Process,Young Turks,"LP, Album + CD, Album",,2017,9751772,Uncategorized,2019-03-03 16:46:02,,,
